City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bethel,41.3712,-73.414,43.66,82,0,0.0,US,1707530943
83,wailua homesteads,22.0669,-159.378,79.23,73,20,9.22,US,1707530944
84,lihue,21.9789,-159.3672,79.84,73,20,9.22,US,1707530944
85,fort mcmurray,56.7268,-111.381,18.91,86,100,0.0,CA,1707530944
86,daru,-9.0763,143.2092,90.5,58,100,1.79,PG,1707530944
87,albany,42.6001,-73.9662,48.61,75,80,3.38,US,1707530944
88,vorkuta,67.5,64.0,-9.49,90,95,15.08,RU,1707530944
89,nova olimpia,-14.7972,-57.2881,77.0,86,79,4.12,BR,1707530944
90,kokpekty,48.75,82.4,18.28,86,98,8.48,KZ,1707530944
91,suonenjoki,62.6167,27.1333,10.13,88,100,4.59,FI,1707530944
92,nova xavantina,-14.6667,-52.35,78.31,79,91,1.32,BR,1707530910
93,marabba,12.35,32.1833,72.03,18,0,8.57,SD,1707530944
94,altai,46.3722,96.2583,9.01,51,50,5.37,MN,1707530944
95,yuza,39.0,139.9167,41.54,52,40,5.5,JP,1707530945
96,bredasdorp,-34.5322,20.0403,63.34,66,64,5.77,ZA,1707530945
97,aasiaat,68.7098,-52.8699,1.02,78,100,11.41,GL,1707530945
98,beloyarskiy,63.7119,66.6722,6.01,93,99,8.01,RU,1707530945
99,igarka,67.4667,86.5833,4.17,82,100,14.43,RU,1707530945
100,badger,64.8,-147.5333,23.7,79,75,0.0,US,1707530945
101,invercargill,-46.4,168.35,58.01,67,88,20.0,NZ,1707530945
102,sheridan,44.8333,-106.9173,31.01,88,100,10.36,US,1707530945
103,mhamid,29.82,-5.72,62.8,70,100,22.82,MA,1707530945
104,baymak,52.5933,58.3225,-2.24,91,64,10.76,RU,1707530945
105,sukumo,32.9333,132.7333,51.15,54,14,11.61,JP,1707530946
106,queenstown,-31.8976,26.8753,57.42,72,100,5.48,ZA,1707530821
107,dudinka,69.4058,86.1778,-10.32,87,100,5.99,RU,1707530946
108,chongwe,-15.3292,28.682,64.31,77,100,1.74,ZM,1707530946
109,kalemie,-5.9475,29.1947,68.41,95,80,1.41,CD,1707530946
110,new norfolk,-42.7826,147.0587,66.7,29,0,2.73,AU,1707530946
111,gadzhiyevo,69.2551,33.3362,7.65,87,100,5.66,RU,1707530946
112,saipan,15.1355,145.701,84.9,65,20,24.16,MP,1707530946
113,louiseville,46.2559,-72.9415,36.45,87,100,5.75,CA,1707530726
114,touros,-5.1989,-35.4608,82.0,81,56,18.68,BR,1707530946
115,tazovsky,67.4667,78.7,3.2,96,100,11.45,RU,1707530946
116,vilyuchinsk,52.9306,158.4028,17.92,74,17,7.07,RU,1707530947
117,kapa'a,22.0752,-159.319,80.58,73,20,9.22,US,1707530947
118,tiksi,71.6872,128.8694,-11.18,100,100,4.21,RU,1707530947
119,bilibino,68.0546,166.4372,-17.91,96,97,1.7,RU,1707530947
120,port moresby,-9.4431,147.1797,85.71,63,99,8.16,PG,1707530947
121,muynoq,43.7683,59.0214,42.84,90,26,8.68,UZ,1707530947
122,inarajan village,13.2736,144.7484,86.97,78,70,18.07,GU,1707530947
123,whitehaven,54.549,-3.5841,45.66,90,100,5.01,GB,1707530947
124,lorengau,-2.0226,147.2712,83.48,76,100,8.43,PG,1707530947
125,brezina,33.0989,1.2608,58.32,26,89,23.85,DZ,1707530947
126,island harbour,50.724,-1.2758,49.21,94,100,7.31,GB,1707530948
127,govindgarh,27.5,76.9833,48.54,49,0,0.98,IN,1707530948
128,balakhta,55.38,91.6,37.35,83,100,18.32,RU,1707530948
129,port mathurin,-19.6833,63.4167,80.4,80,99,28.74,MU,1707530948
130,ahar,38.4774,47.0699,34.18,86,57,6.6,IR,1707530948
131,sisimiut,66.9395,-53.6735,2.23,90,100,14.23,GL,1707530948
132,kourou,5.1552,-52.6478,80.65,90,16,7.85,GF,1707530948
133,zhezqazghan,47.7833,67.7667,28.98,93,75,8.95,KZ,1707530948
134,papao,-17.75,-149.55,76.68,76,100,3.76,PF,1707530948
135,kingston,17.997,-76.7936,77.95,76,20,5.75,JM,1707530840
136,codrington,-38.2667,141.9667,65.1,64,40,11.12,AU,1707530949
137,uturoa,-16.7333,-151.4333,80.31,91,100,21.47,PF,1707530949
138,lerwick,60.1545,-1.1494,35.6,49,100,18.92,GB,1707530949
